product_url,item_type,image_link,product_name,auction_date,location,lot_id,auctioner,website,description
https://yoderandfrey.com/en/equipment-search/product?itemId=600042338,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042338.JPG?v=46596105,Unused 4 Pc Steel Pipe Wrench ATE-34030,02 Nov 2022,Kissimmee FL,600042338,Selling in Yoder & Frey,yoderandfrey,Unused 4 Pc Steel Pipe Wrench ATE-34030 - 5478-112-34
https://yoderandfrey.com/en/equipment-search/product?itemId=600042339,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042339.JPG?v=46596119,Unused 4 Pc Steel Pipe Wrench ATE-34030,02 Nov 2022,Kissimmee FL,600042339,Selling in Yoder & Frey,yoderandfrey,Unused 4 Pc Steel Pipe Wrench ATE-34030 - 5478-112-35
https://yoderandfrey.com/en/equipment-search/product?itemId=600040868,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600040868.JPG?v=46585217,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel)",02 Nov 2022,Kissimmee FL,600040868,Selling in Yoder & Frey,yoderandfrey,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel) - 16051-74"
https://yoderandfrey.com/en/equipment-search/product?itemId=600040895,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600040895.JPG?v=46585227,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel)",02 Nov 2022,Kissimmee FL,600040895,Selling in Yoder & Frey,yoderandfrey,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel) - 16051-76"
https://yoderandfrey.com/en/equipment-search/product?itemId=600040896,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600040896.JPG?v=46585238,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel)",02 Nov 2022,Kissimmee FL,600040896,Selling in Yoder & Frey,yoderandfrey,"Unused 2021 Steelman 10' Work Bench c/w 30 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Stainless Steel) - 16051-75"
https://yoderandfrey.com/en/equipment-search/product?itemId=600040982,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600040982.JPG?v=46585066,"Unused 2021 Steelman 7' Work Bench c/w 18 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Red)",02 Nov 2022,Kissimmee FL,600040982,Selling in Yoder & Frey,yoderandfrey,"Unused 2021 Steelman 7' Work Bench c/w 18 Drawers, Drawer Locks, Anti-Slip Inners, 3 Rail Sliding (Red) - 16051-24"
https://yoderandfrey.com/en/equipment-search/product?itemId=600042615,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042615.JPG?v=46558450,2018 Caterpillar D6N LGP,02 Nov 2022,Kissimmee FL,600042615,Selling in Yoder & Frey,yoderandfrey,"2018 Caterpillar D6N LGP Crawler Dozer c/w Cab, A/C, Joystick Controls, Pre-Wired for Grade Control, 33"" Steel Tracks, 13' 4"" 6 Way PAT Blade, Drawbar, CAT C7.1 6 Cylinder Diesel Engine - CAT00D6NEMG501472"
https://yoderandfrey.com/en/equipment-search/product?itemId=600042700,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042700.JPG?v=46558066,2016 Caterpillar D5K2 LGP,02 Nov 2022,Kissimmee FL,600042700,Selling in Yoder & Frey,yoderandfrey,"2016 Caterpillar D5K2 LGP Cralwer Dozer c/w Cab, A/C, Joystick Controls, Rear View Camera, Tinted Windows, 26"" Steel Tracks, 10' 6"" 6 Way PAT Blade, CAT C4.4 4 Cylinder Diesel Engine - CAT00D5KHKY202562"
https://yoderandfrey.com/en/equipment-search/product?itemId=600042744,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042744.JPG?v=46598405,2017 Komatsu D61PXI-24,02 Nov 2022,Kissimmee FL,600042744,Selling in Yoder & Frey,yoderandfrey,"2017 Komatsu D61PXI-24 Crawler Dozer c/w EROPS, A/C, Rear View Camera, Steel Tracks, 6 Way PAT Blade - KMTOD129THA040442"
https://yoderandfrey.com/en/equipment-search/product?itemId=600042474,steel,https://images.euroauctionslive.com//Piosys//Auction-0705/Thumb/600042474.JPG?v=46545799,1998 Case 850G,02 Nov 2022,Kissimmee FL,600042474,Selling in Yoder & Frey,yoderandfrey,"1998 Case 850G Crawler Dozer c/w OROPS, Joystick Controls, 29"" Steel Tracks, 10' 4"" 6 Way PAT Blade, 6 Cylinder Diesel Engine (743 Hours) - JJG0254108"
